YSymbol	isin	name	qscore	qscorePerf	REVPS5YGR	MARGIN5YR	PER	Rendement	L%H	ChPctPrice5Y	YLD+PRY
8086.T	JP3673600007	NIPRO CORP	38	0	5,238	2,012	52,143	2,129	0,751	6,207	8,337
4218.T	JP3662400005	NICHIBAN CO LTD	62	0	2,700	4,114	19,522	1,732	0,344	3,611	5,342
2768.T	JP3663900003	SOJITZ CORP	61	0	10,558	4,033	7,756	4,196	0,918	27,573	31,769
2871.T	JP3665200006	NICHIREI CORP	55	0	4,718	3,836	18,456	1,936	0,195	5,631	7,567
2055.T	JP3666400001	NICHIWA SANGYO CO LTD	69	0	4,295	0,524	16,385	1,999	0,892	2,315	4,313
4463.T	JP3666700004	NICCA CHEMICAL CO LTD	99	0	3,069	4,523	9,417	3,149	0,988	9,935	13,084
5367.T	JP3667000008	NIKKATO CORP	86	0	1,539	6,013	12,938	3,167	0,719	-4,798	-1,631
1963.T	JP3667600005	JGC HOLDINGS CORP	39	0	13,261	-0,271	201,611	2,034	0,861	10,963	12,997
6376.T	JP3668000007	NIKKISO CO LTD	73	0	6,751	4,173	13,925	2,575	0,849	8,099	10,674
6306.T	JP3669200002	NIKKO CO LTD	75	0	7,029	3,765	18,120	4,527	0,713	2,482	7,009
4021.T	JP3670800006	NISSAN CHEMICAL CORP	46	0	5,320	17,379	16,102	2,485	0,840	-0,641	1,844
7201.T	JP3672400003	NISSAN MOTOR CO LTD	36	0	6,889	-0,311	-6,488	1,320	0,232	-0,644	0,676
5658.T	JP3660000005	NICHIA STEEL WORKS LTD	78	0	2,407	4,522	16,702	3,060	0,687	4,222	7,282
